Title,Author,Rating
The Blade Itself,Joe Abercrombie,7.5
Before They Are Hanged,Joe Abercrombie,7
Last Argument of Kings,Joe Abercrombie,6.5
The Magicians,Lev Grossman,4
The Magician King,Lev Grossman,2
The Magician's Land,Lev Grossman,1
The Three-Body Probem,Cixin Liu,7
The Dark Forest,Cixin Liu,
Death's End,Cixin Liu,
Artemis,Andy Weir,0
Titus Groan,Mervyn Peake,1.5
The Terror,Dan Simmons,0
The Breach,Patrick Lee,8.5
Ghost Country,Patrick Lee,8.5
Deep Sky,Patrick Lee,6
The Yiddish Policeman's Union,Michael Chabon,
The Amazing Adventures of Kavalier and Clay,Michael Chabon,8.75
Assassin's Apprentice,Robin Hobb,
Royal Assassin,Robin Hobb,
Assassin's Quest,Robin Hobb,
A Divided Spy,Charles Cumming,0.5
Red Rising,Pierce Brown,10
Golden Son,Pierce Brown,9
Morning Star,Pierce Brown,8.75
Iron Gold,Pierce Brown,8
Dark Age,Pierce Brown,6.25
Gorky Park,Martin Cruz Smith,
The Ruin of Kings,Jenn Lyons,0
Dune,Frank Herbert,9.75
The Cuckoo's Calling,Robert Galbraith,9.5
The Silkworm,Robert Galbraith,9.5
Career of Evil,Robert Galbraith,9
Lethal White,Robert Galbraith,2
Troubled Blood,Robert Galbraith,5
The Ink Black Heart,Robert Galbraith,6.5
Leviathan Wakes,James S.A. Corey,
Recursion,Blake Crouch,7
The Second Sleep,Robert Harris,
Foundation,Isaac Asimov,6.9
Hail Mary,Andy Weir,4.5
The Eye of the World,Robert Jordan,6.8
The Great Hunt,Robert Jordan,
The Dragon Reborn,Robert Jordan,
The Remains of the Day,Kazuo Ishiguro,
The Builders,Daniel Polansky,
Hyperion,Dan Simmons,9.4
Replay,Ken Grimwood,8
The Peacemaker's Code,Deepak Mahotra,0
Neverwhere,Neil Gaiman,9.8